X-coordinate,Electric Potential,,,,,,
-3.56,4.66E-05,,,,,,
-3.54,4.72E-05,,,,,,
-3.52,4.77E-05,,,,,,
-3.5,4.82E-05,,,,,,
-3.48,4.88E-05,,,,,,
-3.46,4.94E-05,,,,,,
-3.44,4.99E-05,,,,,,
-3.42,5.05E-05,,,,,,
-3.4,5.11E-05,,,,,,
-3.38,5.17E-05,,,,,,
-3.36,5.23E-05,,,,,,
-3.34,5.30E-05,,,,,,
-3.32,5.36E-05,,,,,,
-3.3,5.43E-05,,,,,,
-3.28,5.49E-05,,,,,,
-3.26,5.56E-05,,,,,,
-3.24,5.63E-05,,,,,,
-3.22,5.70E-05,,,,,,
-3.2,5.77E-05,,,,,,
-3.18,5.84E-05,,,,,,
-3.16,5.92E-05,,,,,,
-3.14,5.99E-05,,,,,,
-3.12,6.07E-05,,,,,,
-3.1,6.15E-05,,,,,,
-3.08,6.23E-05,,,,,,
-3.06,6.31E-05,,,,,,
-3.04,6.39E-05,,,,,,
-3.02,6.48E-05,,,,,,
-3,6.57E-05,,,,,,
-2.98,6.65E-05,,,,,,
-2.96,6.75E-05,,,,,,
-2.94,6.84E-05,,,,,,
-2.92,6.93E-05,,,,,,
-2.9,7.03E-05,,,,,,
-2.88,7.13E-05,,,,,,
-2.86,7.23E-05,,,,,,
-2.84,7.33E-05,,,,,,
-2.82,7.43E-05,,,,,,
-2.8,7.54E-05,,,,,,
-2.78,7.65E-05,,,,,,
-2.76,7.76E-05,,,,,,
-2.74,7.87E-05,,,,,,
-2.72,7.99E-05,,,,,,
-2.7,8.11E-05,,,,,,
-2.68,8.23E-05,,,,,,
-2.66,8.35E-05,,,,,,
-2.64,8.48E-05,,,,,,
-2.62,8.61E-05,,,,,,
-2.6,8.74E-05,,,,,,
-2.58,8.88E-05,,,,,,
-2.56,9.02E-05,,,,,,
-2.54,9.16E-05,,,,,,
-2.52,9.31E-05,,,,,,
-2.5,9.46E-05,,,,,,
-2.48,9.61E-05,,,,,,
-2.46,9.77E-05,,,,,,
-2.44,9.93E-05,,,,,,
-2.42,1.01E-04,,,,,,
-2.4,1.03E-04,,,,,,
-2.38,1.04E-04,,,,,,
-2.36,1.06E-04,,,,,,
-2.34,1.08E-04,,,,,,
