Y-coordinate,Electric Potential,,,,,
-0.288,-3.69E-06,,,,,
-0.286,-3.74E-06,,,,,
-0.284,-3.79E-06,,,,,
-0.282,-3.85E-06,,,,,
-0.28,-3.90E-06,,,,,
-0.278,-3.95E-06,,,,,
-0.276,-4.01E-06,,,,,
-0.274,-4.07E-06,,,,,
-0.272,-4.13E-06,,,,,
-0.27,-4.18E-06,,,,,
-0.268,-4.25E-06,,,,,
-0.266,-4.31E-06,,,,,
-0.264,-4.37E-06,,,,,
-0.262,-4.44E-06,,,,,
-0.26,-4.50E-06,,,,,
-0.258,-4.57E-06,,,,,
-0.256,-4.64E-06,,,,,
-0.254,-4.71E-06,,,,,
-0.252,-4.78E-06,,,,,
-0.25,-4.86E-06,,,,,
-0.248,-4.93E-06,,,,,
-0.246,-5.01E-06,,,,,
-0.244,-5.09E-06,,,,,
-0.242,-5.17E-06,,,,,
-0.24,-5.26E-06,,,,,
-0.238,-5.34E-06,,,,,
-0.236,-5.43E-06,,,,,
-0.234,-5.52E-06,,,,,
-0.232,-5.61E-06,,,,,
-0.23,-5.70E-06,,,,,
-0.228,-5.80E-06,,,,,
-0.226,-5.90E-06,,,,,
-0.224,-6.00E-06,,,,,
-0.222,-6.11E-06,,,,,
-0.22,-6.21E-06,,,,,
-0.218,-6.32E-06,,,,,
-0.216,-6.44E-06,,,,,
-0.214,-6.55E-06,,,,,
-0.212,-6.67E-06,,,,,
-0.21,-6.79E-06,,,,,
-0.208,-6.92E-06,,,,,
-0.206,-7.05E-06,,,,,
-0.204,-7.18E-06,,,,,
-0.202,-7.32E-06,,,,,
-0.2,-7.46E-06,,,,,
-0.198,-7.60E-06,,,,,
-0.196,-7.75E-06,,,,,
-0.194,-7.91E-06,,,,,
-0.192,-8.06E-06,,,,,
-0.19,-8.23E-06,,,,,
-0.188,-8.39E-06,,,,,
-0.186,-8.57E-06,,,,,
-0.184,-8.75E-06,,,,,
-0.182,-8.93E-06,,,,,
-0.18,-9.12E-06,,,,,
-0.178,-9.32E-06,,,,,
-0.176,-9.52E-06,,,,,
-0.174,-9.73E-06,,,,,
-0.172,-9.94E-06,,,,,
-0.17,-1.02E-05,,,,,
-0.168,-1.04E-05,,,,,
-0.166,-1.06E-05,,,,,
-0.164,-1.09E-05,,,,,
-0.162,-1.11E-05,,,,,
-0.16,-1.14E-05,,,,,
-0.158,-1.17E-05,,,,,
-0.156,-1.20E-05,,,,,
-0.154,-1.23E-05,,,,,
-0.152,-1.26E-05,,,,,
-0.15,-1.29E-05,,,,,
-0.148,-1.32E-05,,,,,
-0.146,-1.35E-05,,,,,
-0.144,-1.39E-05,,,,,
-0.142,-1.43E-05,,,,,
-0.14,-1.47E-05,,,,,
-0.138,-1.50E-05,,,,,
-0.136,-1.55E-05,,,,,
-0.134,-1.59E-05,,,,,
-0.132,-1.63E-05,,,,,
-0.13,-1.68E-05,,,,,
-0.128,-1.73E-05,,,,,
-0.126,-1.78E-05,,,,,
-0.124,-1.84E-05,,,,,
-0.122,-1.89E-05,,,,,
-0.12,-1.95E-05,,,,,
-0.118,-2.01E-05,,,,,
-0.116,-2.08E-05,,,,,
-0.114,-2.14E-05,,,,,
-0.112,-2.21E-05,,,,,
-0.11,-2.29E-05,,,,,
-0.108,-2.37E-05,,,,,
-0.106,-2.45E-05,,,,,
-0.104,-2.54E-05,,,,,
-0.102,-2.63E-05,,,,,
-0.1,-2.72E-05,,,,,
-0.098,-2.82E-05,,,,,
-0.096,-2.93E-05,,,,,
-0.094,-3.04E-05,,,,,
-0.092,-3.16E-05,,,,,
-0.09,-3.29E-05,,,,,
-0.088,-3.42E-05,,,,,
-0.086,-3.57E-05,,,,,
-0.084,-3.72E-05,,,,,
-0.082,-3.88E-05,,,,,
-0.08,-4.05E-05,,,,,
-0.078,-4.24E-05,,,,,
-0.076,-4.43E-05,,,,,
-0.074,-4.65E-05,,,,,
-0.072,-4.87E-05,,,,,
-0.07,-5.12E-05,,,,,
-0.068,-5.38E-05,,,,,
-0.066,-5.66E-05,,,,,
-0.064,-5.96E-05,,,,,
-0.062,-6.30E-05,,,,,
-0.06,-6.65E-05,,,,,
-0.058,-7.05E-05,,,,,
-0.056,-7.47E-05,,,,,
-0.054,-7.94E-05,,,,,
-0.052,-8.45E-05,,,,,
-0.05,-9.02E-05,,,,,
-0.048,-9.65E-05,,,,,
-0.046,-1.04E-04,,,,,
-0.044,-1.11E-04,,,,,
-0.042,-1.20E-04,,,,,
