Y-coordinate,Electric Potential,,,,,
-0.232,-3.51E-07,,,,,
-0.23,-3.55E-07,,,,,
-0.228,-3.59E-07,,,,,
-0.226,-3.63E-07,,,,,
-0.224,-3.67E-07,,,,,
-0.222,-3.71E-07,,,,,
-0.22,-3.76E-07,,,,,
-0.218,-3.80E-07,,,,,
-0.216,-3.84E-07,,,,,
-0.214,-3.89E-07,,,,,
-0.212,-3.93E-07,,,,,
-0.21,-3.98E-07,,,,,
-0.208,-4.02E-07,,,,,
-0.206,-4.07E-07,,,,,
-0.204,-4.12E-07,,,,,
-0.202,-4.16E-07,,,,,
-0.2,-4.21E-07,,,,,
-0.198,-4.26E-07,,,,,
-0.196,-4.31E-07,,,,,
-0.194,-4.36E-07,,,,,
-0.192,-4.41E-07,,,,,
-0.19,-4.45E-07,,,,,
-0.188,-4.50E-07,,,,,
-0.186,-4.55E-07,,,,,
-0.184,-4.60E-07,,,,,
-0.182,-4.65E-07,,,,,
-0.18,-4.70E-07,,,,,
-0.178,-4.75E-07,,,,,
-0.176,-4.80E-07,,,,,
-0.174,-4.85E-07,,,,,
-0.172,-4.90E-07,,,,,
-0.17,-4.94E-07,,,,,
-0.168,-4.99E-07,,,,,
-0.166,-5.04E-07,,,,,
-0.164,-5.08E-07,,,,,
-0.162,-5.13E-07,,,,,
-0.16,-5.17E-07,,,,,
-0.158,-5.21E-07,,,,,
-0.156,-5.25E-07,,,,,
-0.154,-5.29E-07,,,,,
-0.152,-5.32E-07,,,,,
-0.15,-5.36E-07,,,,,
-0.148,-5.39E-07,,,,,
-0.146,-5.41E-07,,,,,
-0.144,-5.44E-07,,,,,
-0.142,-5.45E-07,,,,,
-0.14,-5.47E-07,,,,,
-0.138,-5.48E-07,,,,,
-0.136,-5.48E-07,,,,,
-0.134,-5.47E-07,,,,,
-0.132,-5.46E-07,,,,,
-0.13,-5.44E-07,,,,,
-0.128,-5.41E-07,,,,,
-0.126,-5.37E-07,,,,,
-0.124,-5.32E-07,,,,,
-0.122,-5.25E-07,,,,,
-0.12,-5.17E-07,,,,,
-0.118,-5.08E-07,,,,,
-0.116,-4.96E-07,,,,,
-0.114,-4.83E-07,,,,,
-0.112,-4.67E-07,,,,,
-0.11,-4.49E-07,,,,,
-0.108,-4.27E-07,,,,,
-0.106,-4.03E-07,,,,,
-0.104,-3.75E-07,,,,,
-0.102,-3.43E-07,,,,,
-0.1,-3.06E-07,,,,,
-0.098,-2.65E-07,,,,,
-0.096,-2.17E-07,,,,,
-0.094,-1.64E-07,,,,,
-0.092,-1.03E-07,,,,,
-0.09,-3.35E-08,,,,,
-0.088,4.49E-08,,,,,
-0.086,1.34E-07,,,,,
-0.084,2.34E-07,,,,,
-0.082,3.49E-07,,,,,
-0.08,4.78E-07,,,,,
-0.078,6.25E-07,,,,,
-0.076,7.91E-07,,,,,
-0.074,9.81E-07,,,,,
-0.072,1.20E-06,,,,,
-0.07,1.44E-06,,,,,
-0.068,1.72E-06,,,,,
-0.066,2.04E-06,,,,,
-0.064,2.40E-06,,,,,
-0.062,2.82E-06,,,,,
-0.06,3.30E-06,,,,,
-0.058,3.85E-06,,,,,
-0.056,4.49E-06,,,,,
-0.054,5.22E-06,,,,,
-0.052,6.06E-06,,,,,
-0.05,7.04E-06,,,,,
-0.048,8.17E-06,,,,,
-0.046,9.48E-06,,,,,
-0.044,1.10E-05,,,,,
-0.042,1.28E-05,,,,,
-0.04,1.49E-05,,,,,
-0.038,1.73E-05,,,,,
-0.036,2.01E-05,,,,,
-0.034,2.33E-05,,,,,
-0.032,2.70E-05,,,,,
-0.03,3.11E-05,,,,,
-0.028,3.57E-05,,,,,
-0.026,4.05E-05,,,,,
-0.024,4.50E-05,,,,,
-0.022,4.84E-05,,,,,
-0.02,4.87E-05,,,,,
-0.018,4.21E-05,,,,,
-0.016,2.09E-05,,,,,
-0.014,-3.08E-05,,,,,
-0.012,-1.49E-04,,,,,
-0.01,-4.20E-04,,,,,
-0.008,-0.001087748,,,,,
-0.006,-0.002990745,,,,,
-0.004,-2.51E-04,,,,,
-0.002,0.011927755,,,,,
8.74E-16,-2,,,,,
0.002,0.027326516,,,,,
0.004,-0.008331205,,,,,
0.006,-0.003471947,,,,,
0.008,-5.27E-04,,,,,
0.01,1.95E-04,,,,,
0.012,3.65E-04,,,,,
0.014,3.79E-04,,,,,
0.016,3.47E-04,,,,,
0.018,3.04E-04,,,,,
0.02,2.61E-04,,,,,
0.022,2.23E-04,,,,,
0.024,1.90E-04,,,,,
0.026,1.62E-04,,,,,
0.028,1.39E-04,,,,,
0.03,1.20E-04,,,,,
0.032,1.04E-04,,,,,
0.034,9.08E-05,,,,,
0.036,7.95E-05,,,,,
0.038,7.00E-05,,,,,
0.04,6.19E-05,,,,,
0.042,5.50E-05,,,,,
0.044,4.91E-05,,,,,
0.046,4.41E-05,,,,,
0.048,3.97E-05,,,,,
0.05,3.59E-05,,,,,
0.052,3.25E-05,,,,,
0.054,2.96E-05,,,,,
0.056,2.70E-05,,,,,
0.058,2.48E-05,,,,,
0.06,2.27E-05,,,,,
0.062,2.09E-05,,,,,
0.064,1.93E-05,,,,,
0.066,1.79E-05,,,,,
0.068,1.66E-05,,,,,
0.07,1.54E-05,,,,,
0.072,1.44E-05,,,,,
0.074,1.34E-05,,,,,
0.076,1.26E-05,,,,,
0.078,1.18E-05,,,,,
0.08,1.10E-05,,,,,
0.082,1.04E-05,,,,,
0.084,9.78E-06,,,,,
0.086,9.22E-06,,,,,
0.088,8.71E-06,,,,,
0.09,8.23E-06,,,,,
0.092,7.80E-06,,,,,
0.094,7.39E-06,,,,,
0.096,7.01E-06,,,,,
0.098,6.66E-06,,,,,
0.1,6.34E-06,,,,,
0.102,6.04E-06,,,,,
0.104,5.75E-06,,,,,
