Z-coordinate,Electric Potential
-0.018032,-1.931189776
-0.018028,-1.931192443
-0.018024,-1.93119545
-0.01802,-1.931198784
-0.018016,-1.931202433
-0.018012,-1.931206384
-0.018008,-1.931210624
-0.018004,-1.931215141
-0.018,-1.931219922
-0.017996,-1.931224957
-0.017992,-1.931230232
-0.017988,-1.931235737
-0.017984,-1.93124146
-0.01798,-1.93124739
-0.017976,-1.931253516
-0.017972,-1.931259828
-0.017968,-1.931266316
-0.017964,-1.931272969
-0.01796,-1.931279779
-0.017956,-1.931286736
-0.017952,-1.931293831
-0.017948,-1.931301056
-0.017944,-1.931308402
-0.01794,-1.931315862
-0.017936,-1.931323427
-0.017932,-1.931331092
-0.017928,-1.931338848
-0.017924,-1.93134669
-0.01792,-1.931354611
-0.017916,-1.931362605
-0.017912,-1.931370668
-0.017908,-1.931378794
-0.017904,-1.931386978
-0.0179,-1.931395216
-0.017896,-1.931403504
-0.017892,-1.931411839
-0.017888,-1.931420217
-0.017884,-1.931428634
-0.01788,-1.931437089
-0.017876,-1.931445579
-0.017872,-1.931454102
-0.017868,-1.931462657
-0.017864,-1.931471241
-0.01786,-1.931479854
-0.017856,-1.931488495
-0.017852,-1.931497163
-0.017848,-1.931505858
-0.017844,-1.93151458
-0.01784,-1.93152333
-0.017836,-1.931532107
-0.017832,-1.931540912
-0.017828,-1.931549746
-0.017824,-1.931558611
-0.01782,-1.931567506
-0.017816,-1.931576435
-0.017812,-1.931585397
-0.017808,-1.931594395
-0.017804,-1.931603431
-0.0178,-1.931612505
-0.017796,-1.931621621
-0.017792,-1.93163078
-0.017788,-1.931639983
-0.017784,-1.931649233
-0.01778,-1.931658532
-0.017776,-1.931667882
-0.017772,-1.931677283
-0.017768,-1.931686739
-0.017764,-1.93169625
-0.01776,-1.931705819
-0.017756,-1.931715445
-0.017752,-1.931725131
-0.017748,-1.931734878
-0.017744,-1.931744686
-0.01774,-1.931754555
-0.017736,-1.931764486
-0.017732,-1.931774479
-0.017728,-1.931784534
-0.017724,-1.931794649
-0.01772,-1.931804823
-0.017716,-1.931815056
-0.017712,-1.931825345
-0.017708,-1.931835688
-0.017704,-1.931846083
-0.0177,-1.931856526
-0.017696,-1.931867014
-0.017692,-1.931877544
-0.017688,-1.93188811
-0.017684,-1.931898708
-0.01768,-1.931909333
-0.017676,-1.931919979
-0.017672,-1.93193064
-0.017668,-1.931941309
-0.017664,-1.931951979
-0.01766,-1.931962642
-0.017656,-1.93197329
-0.017652,-1.931983915
-0.017648,-1.931994508
-0.017644,-1.932005059
-0.01764,-1.932015559
-0.017636,-1.932025997
-0.017632,-1.932036364
-0.017628,-1.932046647
-0.017624,-1.932056835
-0.01762,-1.932066918
-0.017616,-1.932076882
-0.017612,-1.932086717
-0.017608,-1.932096409
-0.017604,-1.932105946
-0.0176,-1.932115315
-0.017596,-1.932124503
-0.017592,-1.932133497
-0.017588,-1.932142283
-0.017584,-1.932150849
-0.01758,-1.932159181
-0.017576,-1.932167266
-0.017572,-1.93217509
-0.017568,-1.93218264
-0.017564,-1.932189903
-0.01756,-1.932196866
-0.017556,-1.932203516
-0.017552,-1.932209841
-0.017548,-1.932215828
-0.017544,-1.932221464
-0.01754,-1.932226738
-0.017536,-1.932231639
-0.017532,-1.932236155
-0.017528,-1.932240275
-0.017524,-1.932243989
-0.01752,-1.932247286
-0.017516,-1.932250157
-0.017512,-1.932252593
-0.017508,-1.932254586
-0.017504,-1.932256126
-0.0175,-1.932257207
-0.017496,-1.932257821
-0.017492,-1.932257961
-0.017488,-1.932257622
-0.017484,-1.932256798
-0.01748,-1.932255485
-0.017476,-1.932253677
-0.017472,-1.932251371
-0.017468,-1.932248565
-0.017464,-1.932245255
-0.01746,-1.932241439
-0.017456,-1.932237117
-0.017452,-1.932232286
-0.017448,-1.932226947
-0.017444,-1.932221101
-0.01744,-1.932214746
