Z-coordinate,Electric Potential
-0.017648,-2.010060138
-0.017644,-2.010478353
-0.01764,-2.010876155
-0.017636,-2.011230113
-0.017632,-2.011528438
-0.017628,-2.011771837
-0.017624,-2.011969751
-0.01762,-2.012134
-0.017616,-2.012273421
-0.017612,-2.012392121
-0.017608,-2.012491274
-0.017604,-2.012572358
-0.0176,-2.012639565
-0.017596,-2.012700514
-0.017592,-2.012765718
-0.017588,-2.012847452
-0.017584,-2.012958012
-0.01758,-2.013106822
-0.017576,-2.013296336
-0.017572,-2.013517858
-0.017568,-2.01374942
-0.017564,-2.013957537
-0.01756,-2.014103301
-0.017556,-2.014151362
-0.017552,-2.014079044
-0.017548,-2.013882484
-0.017544,-2.013577656
-0.01754,-2.013196129
-0.017536,-2.012777434
-0.017532,-2.01236083
-0.017528,-2.011978634
-0.017524,-2.011652023
-0.01752,-2.011389459
-0.017516,-2.011187865
-0.017512,-2.011036394
-0.017508,-2.010921816
-0.017504,-2.01083361
-0.0175,-2.010766812
-0.017496,-2.010721818
-0.017492,-2.01070188
-0.017488,-2.010709915
-0.017484,-2.010745918
-0.01748,-2.010805249
-0.017476,-2.010877554
-0.017472,-2.010946637
-0.017468,-2.010992399
-0.017464,-2.01099566
-0.01746,-2.010944874
-0.017456,-2.010841718
-0.017452,-2.010702092
-0.017448,-2.010551023
-0.017444,-2.010413301
-0.01744,-2.01030413
-0.017436,-2.010224081
-0.017432,-2.0101602
-0.017428,-2.010092001
-0.017424,-2.009999208
-0.01742,-2.009868354
-0.017416,-2.009696768
-0.017412,-2.009493772
-0.017408,-2.009279229
-0.017404,-2.009079574
-0.0174,-2.008921747
-0.017396,-2.008826405
-0.017392,-2.008802531
-0.017388,-2.008845408
-0.017384,-2.008938458
-0.01738,-2.009057806
-0.017376,-2.009177682
-0.017372,-2.009275205
-0.017368,-2.009334044
-0.017364,-2.009346869
-0.01736,-2.009316432
-0.017356,-2.009254807
-0.017352,-2.009180506
-0.017348,-2.009113859
-0.017344,-2.009071831
-0.01734,-2.00906377
-0.017336,-2.009089208
-0.017332,-2.009138056
-0.017328,-2.00919284
-0.017324,-2.009232322
-0.01732,-2.00923576
-0.017316,-2.009186967
-0.017312,-2.009077191
-0.017308,-2.008906034
-0.017304,-2.008680372
-0.0173,-2.008412126
-0.017296,-2.008116011
-0.017292,-2.007807723
-0.017288,-2.00750229
-0.017284,-2.00721225
-0.01728,-2.00694591
-0.017276,-2.006706372
-0.017272,-2.006491821
-0.017268,-2.006297022
-0.017264,-2.006115587
-0.01726,-2.005942566
-0.017256,-2.005776889
-0.017252,-2.005623019
-0.017248,-2.005491017
-0.017244,-2.005394548
-0.01724,-2.005347359
-0.017236,-2.005359735
-0.017232,-2.005436625
-0.017228,-2.005578101
-0.017224,-2.005781368
-0.01722,-2.00604278
-0.017216,-2.00635864
-0.017212,-2.006724468
-0.017208,-2.007133131
-0.017204,-2.007572705
-0.0172,-2.008025183
-0.017196,-2.008467194
-0.017192,-2.008873334
-0.017188,-2.009221388
-0.017184,-2.009497366
-0.01718,-2.00969784
-0.017176,-2.009828313
-0.017172,-2.009898411
-0.017168,-2.009916318
-0.017164,-2.009885023
-0.01716,-2.009801721
-0.017156,-2.009660104
-0.017152,-2.009454174
-0.017148,-2.009181978
-0.017144,-2.008847875
-0.01714,-2.008462374
-0.017136,-2.008039254
-0.017132,-2.007590815
-0.017128,-2.007123484
-0.017124,-2.006636421
-0.01712,-2.006124561
-0.017116,-2.005585099
-0.017112,-2.00502429
-0.017108,-2.004461027
-0.017104,-2.003925128
-0.0171,-2.003450799
-0.017096,-2.003067857
-0.017092,-2.002794247
-0.017088,-2.002632829
-0.017084,-2.002573587
-0.01708,-2.002600086
-0.017076,-2.002697124
-0.017072,-2.002856036
-0.017068,-2.003075504
-0.017064,-2.003358077
-0.01706,-2.00370474
-0.017056,-2.004110466
-0.017052,-2.004562626
-0.017048,-2.005042231
-0.017044,-2.00552666
-0.01704,-2.005992546
-0.017036,-2.00641824
-0.017032,-2.006785888
-0.017028,-2.007083124
-0.017024,-2.007304179
-0.01702,-2.007450351
-0.017016,-2.007529978
-0.017012,-2.007558077
-0.017008,-2.007555404
-0.017004,-2.007546498
-0.017,-2.007556568
-0.016996,-2.007607829
-0.016992,-2.00771643
-0.016988,-2.007890861
-0.016984,-2.008131723
-0.01698,-2.008431819
-0.016976,-2.008775455
-0.016972,-2.009136979
-0.016968,-2.009480295
-0.016964,-2.009761856
-0.01696,-2.009938355
-0.016956,-2.009977507
-0.016952,-2.009867736
-0.016948,-2.009622317
-0.016944,-2.009275788
-0.01694,-2.008874157
-0.016936,-2.008463141
-0.016932,-2.008078975
-0.016928,-2.007744376
-0.016924,-2.007469448
-0.01692,-2.00725549
-0.016916,-2.007099287
-0.016912,-2.006996179
-0.016908,-2.006941158
-0.016904,-2.006928132
-0.0169,-2.006948185
-0.016896,-2.006988165
-0.016892,-2.007030897
-0.016888,-2.007057679
-0.016884,-2.007052698
-0.01688,-2.007007943
-0.016876,-2.006926652
-0.016872,-2.006823637
-0.016868,-2.006722092
-0.016864,-2.006648063
-0.01686,-2.006624686
-0.016856,-2.006667934
-0.016852,-2.00678454
-0.016848,-2.006971848
