Z-coordinate,Electric Potential,,,,,,,,,,,,,
0.005250833,-0.001557962,,,,,,,,,,,,,
0.005251667,-0.001557525,,,,,,,,,,,,,
0.0052525,-0.001557088,,,,,,,,,,,,,
0.005253333,-0.001556652,,,,,,,,,,,,,
0.005254167,-0.001556215,,,,,,,,,,,,,
0.005255,-0.001555779,,,,,,,,,,,,,
0.005255833,-0.001555343,,,,,,,,,,,,,
0.005256667,-0.001554907,,,,,,,,,,,,,
0.0052575,-0.001554472,,,,,,,,,,,,,
0.005258333,-0.001554036,,,,,,,,,,,,,
0.005259167,-0.001553601,,,,,,,,,,,,,
0.00526,-0.001553166,,,,,,,,,,,,,
0.005260833,-0.001552732,,,,,,,,,,,,,
0.005261667,-0.001552297,,,,,,,,,,,,,
0.0052625,-0.001551863,,,,,,,,,,,,,
0.005263333,-0.001551428,,,,,,,,,,,,,
0.005264167,-0.001550994,,,,,,,,,,,,,
0.005265,-0.001550561,,,,,,,,,,,,,
0.005265833,-0.001550127,,,,,,,,,,,,,
0.005266667,-0.001549694,,,,,,,,,,,,,
0.0052675,-0.001549261,,,,,,,,,,,,,
0.005268333,-0.001548828,,,,,,,,,,,,,
0.005269167,-0.001548395,,,,,,,,,,,,,
0.00527,-0.001547962,,,,,,,,,,,,,
0.005270833,-0.00154753,,,,,,,,,,,,,
0.005271667,-0.001547098,,,,,,,,,,,,,
0.0052725,-0.001546666,,,,,,,,,,,,,
0.005273333,-0.001546234,,,,,,,,,,,,,
0.005274167,-0.001545803,,,,,,,,,,,,,
0.005275,-0.001545371,,,,,,,,,,,,,
0.005275833,-0.00154494,,,,,,,,,,,,,
0.005276667,-0.001544509,,,,,,,,,,,,,
0.0052775,-0.001544079,,,,,,,,,,,,,
0.005278333,-0.001543648,,,,,,,,,,,,,
0.005279167,-0.001543218,,,,,,,,,,,,,
0.00528,-0.001542788,,,,,,,,,,,,,
0.005280833,-0.001542358,,,,,,,,,,,,,
0.005281667,-0.001541928,,,,,,,,,,,,,
0.0052825,-0.001541498,,,,,,,,,,,,,
0.005283333,-0.001541069,,,,,,,,,,,,,
0.005284167,-0.00154064,,,,,,,,,,,,,
0.005285,-0.001540211,,,,,,,,,,,,,
0.005285833,-0.001539782,,,,,,,,,,,,,
0.005286667,-0.001539354,,,,,,,,,,,,,
0.0052875,-0.001538925,,,,,,,,,,,,,
0.005288333,-0.001538497,,,,,,,,,,,,,
0.005289167,-0.001538069,,,,,,,,,,,,,
0.00529,-0.001537641,,,,,,,,,,,,,
0.005290833,-0.001537214,,,,,,,,,,,,,
0.005291667,-0.001536787,,,,,,,,,,,,,
0.0052925,-0.001536359,,,,,,,,,,,,,
0.005293333,-0.001535932,,,,,,,,,,,,,
0.005294167,-0.001535506,,,,,,,,,,,,,
0.005295,-0.001535079,,,,,,,,,,,,,
0.005295833,-0.001534653,,,,,,,,,,,,,
0.005296667,-0.001534227,,,,,,,,,,,,,
0.0052975,-0.001533801,,,,,,,,,,,,,
0.005298333,-0.001533375,,,,,,,,,,,,,
0.005299167,-0.001532949,,,,,,,,,,,,,
0.0053,-0.001532524,,,,,,,,,,,,,
0.005300833,-0.001532099,,,,,,,,,,,,,
0.005301667,-0.001531674,,,,,,,,,,,,,
0.0053025,-0.001531249,,,,,,,,,,,,,
0.005303333,-0.001530824,,,,,,,,,,,,,
0.005304167,-0.0015304,,,,,,,,,,,,,
0.005305,-0.001529976,,,,,,,,,,,,,
0.005305833,-0.001529552,,,,,,,,,,,,,
