"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"49.9999933469535","49.999993233562215","-3.325082349319955E-6","-5.322437502614227E7","-5.413150501362243E7","-2.6600658475064863E7","1","2.6000000000000005E-13","3.3434059999999994E-27","987.8705094826541","8.358512929225492E-24","987.8705094826541"
"49.99999281470975","49.99999269224716","-3.5910889340706033E-6","-5.527146686615992E7","-5.621348641091382E7","-2.762376067290474E7","1","2.7000000000000006E-13","3.3434059999999994E-27","987.870705309748","8.358512756660954E-24","987.870705309748"
"49.99999226199508","49.9999921301123","-3.86732654079965E-6","-5.731855876313011E7","-5.829546785849836E7","-2.864686286482805E7","1","2.8000000000000007E-13","3.3434059999999994E-27","987.8709089696933","8.358512577193835E-24","987.8709089696933"
"49.999991688809494","49.99999154715762","-4.153795169447931E-6","-5.936565071924332E7","-6.03774493583104E7","-2.9669965050607234E7","1","2.900000000000001E-13","3.3434059999999994E-27","987.8711204630072","8.358512390824135E-24","987.8711204630072"
"49.999991095152986","49.999990943383125","-4.450494819954003E-6","-6.141274273669004E7","-6.2459430912284315E7","-3.069306723001473E7","1","3.000000000000001E-13","3.3434059999999994E-27","987.8713397892267","8.358512197551856E-24","987.8713397892267"
"49.999990481025556","49.99999031878882","-4.757425492254151E-6","-6.345983481766074E7","-6.454141252235447E7","-3.1716169402822975E7","1","3.100000000000001E-13","3.3434059999999994E-27","987.8715669486502","8.358511997376995E-24","987.8715669486502"
"49.999989846427205","49.99998967337469","-5.074587186282381E-6","-6.550692696434593E7","-6.6623394190455206E7","-3.2739271568804417E7","1","3.200000000000001E-13","3.3434059999999994E-27","987.8718019411156","8.358511790299554E-24","987.8718019411156"
"49.99998919135793","49.99998900714075","-5.401979901970425E-6","-6.755401917893608E7","-6.87053759185209E7","-3.376237372773149E7","1","3.300000000000001E-13","3.3434059999999994E-27","987.8720447666719","8.35851157631953E-24","987.8720447666719"
"49.99998851581774","49.99998832008699","-5.7396036392477404E-6","-6.960111146362168E7","-7.07873577084859E7","-3.478547587937663E7","1","3.400000000000001E-13","3.3434059999999994E-27","987.872295425266","8.358511355436928E-24","987.872295425266"
"49.99998781980663","49.99998761221342","-6.087458398041507E-6","-7.164820382059321E7","-7.286933956228456E7","-3.580857802351228E7","1","3.500000000000001E-13","3.3434059999999994E-27","987.8725539169558","8.358511127651747E-24","987.8725539169558"
"49.999987103324585","49.99998688352002","-6.4455441782766294E-6","-7.369529625204116E7","-7.495132148185126E7","-3.683168015991089E7","1","3.6000000000000013E-13","3.3434059999999994E-27","987.8728202416016","8.358510892963984E-24","987.8728202416016"
"49.99998636637162","49.99998613400681","-6.813860979875738E-6","-7.574238876015605E7","-7.703330346912037E7","-3.785478228834489E7","1","3.7000000000000014E-13","3.3434059999999994E-27","987.8730943993509","8.358510651373643E-24","987.8730943993509"
"49.99998560894773","49.99998536367378","-7.192408802759187E-6","-7.778948134712833E7","-7.911528552602623E7","-3.8877884408586726E7","1","3.8000000000000015E-13","3.3434059999999994E-27","987.8733763905402","8.35851040288072E-24","987.8733763905402"
"49.99998483105292","49.99998457252092","-7.581187646845054E-6","-7.98365740151485E7","-8.119726765450323E7","-3.990098652040884E7","1","3.9000000000000016E-13","3.3434059999999994E-27","987.8736662144321","8.35851014748522E-24","987.8736662144321"
"49.99998403268718","49.99998376054825","-7.980197512049142E-6","-8.188366676640707E7","-8.327924985648571E7","-4.092408862358365E7","1","4.0000000000000016E-13","3.3434059999999994E-27","987.8739638716797","8.358509885187137E-24","987.8739638716797"
"49.99998321385051","49.999982927755745","-8.389438398284979E-6","-8.393075960309452E7","-8.536123213390805E7","-4.194719071788362E7","1","4.1000000000000017E-13","3.3434059999999994E-27","987.8742693618905","8.358509615986476E-24","987.8742693618905"
"49.99998237454292","49.999982074143425","-8.808910305463815E-6","-8.597785252740131E7","-8.744321448870462E7","-4.2970292803081185E7","1","4.200000000000002E-13","3.3434059999999994E-27","987.8745826853192","8.358509339883233E-24","987.8745826853192"
"49.99998151476439","49.99998119971128","-9.238613233494627E-6","-8.802494554151796E7","-8.952519692280978E7","-4.399339487894879E7","1","4.300000000000002E-13","3.3434059999999994E-27","987.8749038416616","8.358509056877415E-24","987.8749038416616"
"49.99998063451494","49.99998030445931","-9.678547182284115E-6","-9.007203864763495E7","-9.16071794381579E7","-4.501649694525887E7","1","4.400000000000002E-13","3.3434059999999994E-27","987.8752328311035","8.358508766969017E-24","987.8752328311035"
"49.999979733794554","49.999979388387516","-1.0128712151736704E-5","-9.21191318479428E7","-9.368916203668337E7","-4.603959900178386E7","1","4.500000000000002E-13","3.3434059999999994E-27","987.8755696538453","8.358508470158036E-24","987.8755696538453"
"49.99997881260324","49.99997845149589","-1.0589108141754543E-5","-9.416622514463198E7","-9.577114472032052E7","-4.706270104829621E7","1","4.600000000000002E-13","3.3434059999999994E-27","987.8759143095807","8.35850816644448E-24","987.8759143095807"
"49.99997787094099","49.99997749378444","-1.1059735152237505E-5","-9.621331853989299E7","-9.785312749100377E7","-4.808580308456836E7","1","4.700000000000001E-13","3.3434059999999994E-27","987.8762667983628","8.358507855828344E-24","987.8762667983628"
"49.9999769088078","49.99997651525317","-1.1540593183083188E-5","-9.82604120359163E7","-9.993511035066745E7","-4.910890511037274E7","1","4.800000000000001E-13","3.3434059999999994E-27","987.8766271204989","8.358507538309628E-24","987.8766271204989"
"49.99997592620368","49.999975515902065","-1.2031682234186917E-5","-1.0030750563489243E8","-1.0201709330124596E8","-5.01320071254818E7","1","4.9E-13","3.3434059999999994E-27","987.8769952752805","8.358507213888332E-24","987.8769952752805"
"49.999974923128626","49.99997449573113","-1.2533002305441735E-5","-1.0235459933901186E8","-1.0409907634467366E8","-5.1155109129667975E7","1","5.0E-13","3.3434059999999994E-27","987.8773712634492","8.358506882564461E-24","987.8773712634492"
"49.999973899582635","49.99997345474037","-1.3044553396738415E-5","-1.044016931504651E8","-1.0618105948288496E8","-5.217821112270371E7","1","5.099999999999999E-13","3.3434059999999994E-27","987.8777550847382","8.358506544338011E-24","987.8777550847382"
"49.9999728555657","49.99997239292978","-1.3566335507965452E-5","-1.0644878707144265E8","-1.0826304271781419E8","-5.320131310436145E7","1","5.199999999999999E-13","3.3434059999999994E-27","987.8781467389608","8.358506199208983E-24","987.8781467389608"
"49.99997179107783","49.99997131029935","-1.4098348639009067E-5","-1.0849588110413499E8","-1.1034502605139576E8","-5.422441507441363E7","1","5.299999999999999E-13","3.3434059999999994E-27","987.8785462265602","8.358505847177375E-24","987.8785462265602"
"49.99997070611902","49.99997020684909","-1.4640592789753203E-5","-1.1054297525073263E8","-1.1242700948556405E8","-5.524751703263268E7","1","5.399999999999998E-13","3.3434059999999994E-27","987.878953546964","8.358505488243193E-24","987.878953546964"
"49.99996960068927","49.999969082579","-1.519306796007953E-5","-1.1259006951342607E8","-1.1450899302225344E8","-5.6270618978791066E7","1","5.499999999999998E-13","3.3434059999999994E-27","987.8793687006909","8.358505122406429E-24","987.8793687006909"
"49.999968474788574","49.99996793748907","-1.575577414986744E-5","-1.146371638944058E8","-1.165909766633983E8","-5.729372091266121E7","1","5.599999999999997E-13","3.3434059999999994E-27","987.879791687439","8.35850474966709E-24","987.879791687439"
"49.999967328416936","49.9999667715793","-1.6328711358994052E-5","-1.1668425839586233E8","-1.1867296041093303E8","-5.8316822834015556E7","1","5.699999999999997E-13","3.3434059999999994E-27","987.880222507348","8.35850437002517E-24","987.880222507348"
"49.99996616157435","49.9999655848497","-1.6911879587334207E-5","-1.1873135301998615E8","-1.20754944266792E8","-5.933992474262655E7","1","5.799999999999996E-13","3.3434059999999994E-27","987.8806611601608","8.358503983480676E-24","987.8806611601608"
"49.99996497426082","49.99996437730025","-1.7505278834760473E-5","-1.2077844776896776E8","-1.228369282329096E8","-6.036302663826663E7","1","5.899999999999996E-13","3.3434059999999994E-27","987.8811076463401","8.358503590033603E-24","987.8811076463401"
"49.99996376647634","49.999963148930966","-1.810890910114314E-5","-1.2282554264499769E8","-1.2491891231122023E8","-6.138612852070825E7","1","5.999999999999996E-13","3.3434059999999994E-27","987.8815619656768","8.358503189683953E-24","987.8815619656768"
