X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy,7.59997E-11
70.00000102,70.00000094,70.00000068,13817.5757,12655.71607,9138.460349,1,1.60E-19,1.48E-10,3.34E-27,257.1314314,4.53E-06,257.1314359,
70.00000104,70.00000095,70.00000069,13910.9377,12741.22766,9200.206701,1,1.60E-19,1.49E-10,3.34E-27,257.1314313,4.60E-06,257.1314359,
70.00000105,70.00000096,70.00000069,14004.2997,12826.73925,9261.953053,1,1.60E-19,1.50E-10,3.34E-27,257.1314313,4.66E-06,257.1314359,
70.00000106,70.00000097,70.0000007,14097.66169,12912.25085,9323.699405,1,1.60E-19,1.51E-10,3.34E-27,257.1314312,4.72E-06,257.1314359,
70.00000108,70.00000099,70.00000071,14191.02369,12997.76244,9385.445757,1,1.60E-19,1.52E-10,3.34E-27,257.1314311,4.78E-06,257.1314359,
70.00000109,70.000001,70.00000072,14284.38569,13083.27403,9447.192109,1,1.60E-19,1.53E-10,3.34E-27,257.1314311,4.85E-06,257.1314359,
70.00000111,70.00000101,70.00000073,14377.74768,13168.78563,9508.938461,1,1.60E-19,1.54E-10,3.34E-27,257.131431,4.91E-06,257.1314359,
70.00000112,70.00000103,70.00000074,14471.10968,13254.29722,9570.684813,1,1.60E-19,1.55E-10,3.34E-27,257.1314309,4.97E-06,257.1314359,
70.00000114,70.00000104,70.00000075,14564.47168,13339.80882,9632.431165,1,1.60E-19,1.56E-10,3.34E-27,257.1314309,5.04E-06,257.1314359,
70.00000115,70.00000105,70.00000076,14657.83367,13425.32041,9694.177517,1,1.60E-19,1.57E-10,3.34E-27,257.1314308,5.10E-06,257.1314359,
70.00000117,70.00000107,70.00000077,14751.19567,13510.832,9755.923869,1,1.60E-19,1.58E-10,3.34E-27,257.1314307,5.17E-06,257.1314359,
70.00000118,70.00000108,70.00000078,14844.55767,13596.3436,9817.670221,1,1.60E-19,1.59E-10,3.34E-27,257.1314307,5.23E-06,257.1314359,
70.0000012,70.00000109,70.00000079,14937.91966,13681.85519,9879.416573,1,1.60E-19,1.60E-10,3.34E-27,257.1314306,5.30E-06,257.1314359,
70.00000121,70.00000111,70.0000008,15031.28166,13767.36678,9941.162925,1,1.60E-19,1.61E-10,3.34E-27,257.1314305,5.37E-06,257.1314359,
70.00000123,70.00000112,70.00000081,15124.64366,13852.87838,10002.90928,1,1.60E-19,1.62E-10,3.34E-27,257.1314305,5.43E-06,257.1314359,
70.00000124,70.00000114,70.00000082,15218.00565,13938.38997,10064.65563,1,1.60E-19,1.63E-10,3.34E-27,257.1314304,5.50E-06,257.1314359,
70.00000126,70.00000115,70.00000083,15311.36765,14023.90157,10126.40198,1,1.60E-19,1.64E-10,3.34E-27,257.1314303,5.57E-06,257.1314359,
70.00000127,70.00000116,70.00000084,15404.72965,14109.41316,10188.14833,1,1.60E-19,1.65E-10,3.34E-27,257.1314303,5.64E-06,257.1314359,
70.00000129,70.00000118,70.00000085,15498.09164,14194.92475,10249.89468,1,1.60E-19,1.66E-10,3.34E-27,257.1314302,5.70E-06,257.1314359,
70.0000013,70.00000119,70.00000086,15591.45364,14280.43635,10311.64103,1,1.60E-19,1.67E-10,3.34E-27,257.1314301,5.77E-06,257.1314359,
70.00000132,70.00000121,70.00000087,15684.81564,14365.94794,10373.38739,1,1.60E-19,1.68E-10,3.34E-27,257.1314301,5.84E-06,257.1314359,
70.00000133,70.00000122,70.00000088,15778.17763,14451.45953,10435.13374,1,1.60E-19,1.69E-10,3.34E-27,257.13143,5.91E-06,257.1314359,
70.00000135,70.00000124,70.00000089,15871.53963,14536.97113,10496.88009,1,1.60E-19,1.70E-10,3.34E-27,257.1314299,5.98E-06,257.1314359,
70.00000136,70.00000125,70.0000009,15964.90162,14622.48272,10558.62644,1,1.60E-19,1.71E-10,3.34E-27,257.1314299,6.05E-06,257.1314359,
70.00000138,70.00000126,70.00000091,16058.26362,14707.99431,10620.37279,1,1.60E-19,1.72E-10,3.34E-27,257.1314298,6.12E-06,257.1314359,
70.0000014,70.00000128,70.00000092,16151.62562,14793.50591,10682.11914,1,1.60E-19,1.73E-10,3.34E-27,257.1314297,6.20E-06,257.1314359,
70.00000141,70.00000129,70.00000093,16244.98761,14879.0175,10743.8655,1,1.60E-19,1.74E-10,3.34E-27,257.1314296,6.27E-06,257.1314359,
