"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy","V/Cm"
"239643.81443471956","245107.29328309954","-133849.01191286562","179755.36045562997","183852.9695835076","-100409.2587273504","1","1.602176634E-19","2.8000000000000015E-9","3.3444950551171926E-27","1.439636254635056E-6","7.952833763977159E-4","7.967230126523509E-4","1.7241102972668418E-27"
"239643.81444372053","245107.2932923071","-133849.01191787806","179755.3604556458","183852.9695835255","-100409.25872734077","1","1.602176634E-19","2.8500000000000015E-9","3.3444950551171926E-27","1.4396362670841533E-6","7.95283376397824E-4","7.967230126649081E-4","1.7241102941196254E-27"
"239643.81445272153","245107.29330151467","-133849.01192289052","179755.36045566166","183852.9695835434","-100409.25872733114","1","1.602176634E-19","2.9000000000000016E-9","3.3444950551171926E-27","1.4396362481908856E-6","7.95283376397932E-4","7.967230126461228E-4","1.7241102971591507E-27"
"239643.8144617225","245107.29331072222","-133849.011927903","179755.36045567752","183852.9695835613","-100409.2587273215","1","1.602176634E-19","2.9500000000000016E-9","3.3444950551171926E-27","1.4396362373269185E-6","7.952833763980399E-4","7.967230126353669E-4","1.7241102938756507E-27"
"239643.8144707235","245107.29331992977","-133849.01193291543","179755.3604556934","183852.96958357922","-100409.25872731187","1","1.602176634E-19","3.0000000000000016E-9","3.3444950551171926E-27","1.4396362584010915E-6","7.95283376398148E-4","7.967230126565491E-4","1.7241102914066506E-27"
"239643.81447972447","245107.29332913732","-133849.0119379279","179755.36045570925","183852.96958359712","-100409.25872730224","1","1.602176634E-19","3.0500000000000017E-9","3.3444950551171926E-27","1.4396362658186276E-6","7.952833763982561E-4","7.967230126640748E-4","1.7241102955871763E-27"
"239643.81448872547","245107.29333834487","-133849.01194294033","179755.3604557251","183852.96958361502","-100409.25872729259","1","1.602176634E-19","3.1000000000000017E-9","3.3444950551171926E-27","1.4396362449824516E-6","7.952833763983641E-4","7.967230126433466E-4","1.7241102883934655E-27"
"239643.81449772645","245107.29334755242","-133849.0119479528","179755.36045574097","183852.96958363292","-100409.25872728296","1","1.602176634E-19","3.1500000000000017E-9","3.3444950551171926E-27","1.4396362599063838E-6","7.952833763984723E-4","7.967230126583787E-4","1.7241102945226063E-27"
"239643.81450672745","245107.29335675997","-133849.01195296523","179755.36045575683","183852.96958365082","-100409.25872727332","1","1.602176634E-19","3.2000000000000018E-9","3.3444950551171926E-27","1.4396362651321917E-6","7.952833763985803E-4","7.967230126637125E-4","1.724110291923311E-27"
"239643.81451572842","245107.29336596755","-133849.0119579777","179755.3604557727","183852.96958366875","-100409.25872726369","1","1.602176634E-19","3.250000000000002E-9","3.3444950551171926E-27","1.439636248935687E-6","7.952833763986883E-4","7.96723012647624E-4","1.7241102928350803E-27"
