energy (eV), scatter (barn), capture (barn), total (barn)
1838820.0,1.618727,0.00172241809,2.09590047
1838998.0,1.656259,0.00172231709,2.16080737
1839530.0,1.750376,0.00172201409,2.35480016
1840100.0,1.677966,0.00172169009,2.38940004
1840101.0,1.677839,0.00172169009,2.38946074
1840420.0,1.665234,0.0017215081,2.40889976
1841130.0,1.588014,0.0017211041,2.40300015
1841310.0,1.626533,0.0017210021,2.45960035
1841500.0,1.710147,0.0017208941,2.56230014
1841504.0,1.711912,0.0017208921,2.56446694
1841670.0,1.796182,0.0017207971,2.65440045
1841850.0,1.92844,0.0017206951,2.79279964
1842206.0,1.577007,0.00172049211,2.45351254
1842210.0,1.57381,0.00172049011,2.44970014
1842560.0,1.401161,0.00172029111,2.22319984
1842740.0,1.389156,0.00172018811,2.18349994
1842907.0,1.45623,0.00172009311,2.22487914
1842920.0,1.457773,0.00172008611,2.22810023
1843100.0,1.541838,0.00171998411,2.33540023
1843460.0,1.872868,0.00171977911,2.71290023
1843609.0,2.078459,0.00171969411,2.93772464
1843640.0,2.133303,0.00171967712,2.98450023
1843810.0,2.179249,0.00171958012,2.98620003
1843900.0,2.133373,0.00171952912,2.91689958
1844170.0,1.995747,0.00171937512,2.70900022
1844350.0,1.973596,0.00171927312,2.64000032
1844600.0,2.201164,0.00171913112,2.80250048
1844612.0,2.212082,0.00171912412,2.81029517
1845070.0,2.408671,0.00171886312,3.10780011
1845313.0,2.367691,0.00171872513,3.12036277
1845600.0,2.482086,0.00171856213,3.13519971
1845700.0,2.468676,0.00171850513,3.08710045
1845960.0,2.433868,0.00171835713,2.96210041
1846015.0,2.460797,0.00171832613,2.96995037
1846400.0,2.590604,0.00171810713,3.02490006
1846416.0,2.595995,0.00171809813,3.02718015
1846680.0,2.642658,0.00171794713,3.0648003
1846717.0,2.656752,0.00171792613,3.07762697
1846800.0,2.661941,0.00171787913,3.10639973
1847040.0,2.676947,0.00171774314,3.18959979
1847419.0,2.970085,0.00171752714,3.59042758
1847580.0,3.066673,0.00171743514,3.76069968
1847760.0,2.926294,0.00171733314,3.70270038
1847800.0,2.872487,0.00171731014,3.66720006
1847820.0,2.84554,0.00171729914,3.64940635
1848120.0,2.570478,0.00171712814,3.38250028
1848300.0,2.583784,0.00171702614,3.40069977
1848500.0,2.808547,0.00171691214,3.63090006
1848521.0,2.832143,0.00171690014,3.65506695
1848822.0,2.996466,0.00171672915,4.00145278
1849010.0,3.142878,0.00171662215,4.21779967
1849200.0,2.837099,0.00171651415,3.98269956
1849223.0,2.800091,0.00171650115,3.95424755
1849370.0,2.710525,0.00171641715,3.77239947
1849524.0,2.732597,0.00171633015,3.69779538
1849550.0,2.726154,0.00171631515,3.68520016
1849730.0,2.916146,0.00171621315,3.83260026
1849900.0,2.890671,0.00171611615,3.76689956
1849925.0,2.886942,0.00171610215,3.75725505
1850090.0,2.765983,0.00171600815,3.69360026
1850630.0,2.923342,0.00171570116,4.03849975
1850810.0,2.926928,0.00171559816,4.10459965
1850927.0,2.762151,0.00171553216,3.98045658
1851000.0,2.684572,0.00171549016,3.90299954
1851328.0,2.335876,0.00171530416,3.55485135
1851350.0,2.318384,0.00171529116,3.53149934
1851530.0,2.124628,0.00171518916,3.28980024
1851890.0,1.943716,0.00171498416,3.01300003
1852000.0,1.933714,0.00171492117,2.97369997
1852030.0,1.930996,0.00171490417,2.96299095
1852430.0,1.8251,0.00171467717,2.82020003
1852790.0,1.865905,0.00171447217,2.82779972
1853133.0,1.740049,0.00171427717,2.67030633
1853150.0,1.733152,0.00171426717,2.66250012
1853800.0,1.934215,0.00171389818,2.82880025
1853834.0,1.944739,0.00171387818,2.83750593
1854230.0,1.958177,0.00171365318,2.9388995
1854420.0,1.910677,0.00171354518,2.93360059
1854600.0,2.226597,0.00171344318,3.28950049
1854780.0,2.441117,0.00171334018,3.54400039
1854837.0,2.478854,0.00171330818,3.59439736
1854900.0,2.546112,0.00171327218,3.65010032
1854960.0,2.610117,0.00171323818,3.70310029
1855140.0,2.734232,0.00171313518,3.79420018
1855680.0,2.381377,0.00171282819,3.34230038
1856040.0,2.347506,0.00171262319,3.24239957
1856580.0,2.588551,0.00171231619,3.38439976
