energy (eV), scatter (barn), absorb (barn), total (barn)
56.25,1.791107,0.0359377861,1.82704479
59.375,1.779866,0.0346248003,1.8144908
62.5,1.768911,0.0334140044,1.802325
65.625,1.758229,0.0322933811,1.79052238
68.75,1.747813,0.0312527605,1.77906576
71.875,1.737651,0.0302835483,1.76793455
75.0,1.727735,0.0293783755,1.75711338
81.25,1.708604,0.0277355395,1.73633954
87.5,1.690355,0.0262827761,1.71663778
93.75,1.672931,0.0249888592,1.69791986
100.0,1.656276,0.0238281344,1.68010413
106.25,1.640334,0.0227800372,1.66311404
112.5,1.625063,0.0218293854,1.64689239
118.75,1.610423,0.0209630847,1.63138608
125.0,1.596374,0.0201703601,1.61654436
131.25,1.582881,0.0194421937,1.60232319
137.5,1.569913,0.0187710138,1.58868401
143.75,1.557436,0.0181503928,1.57558639
150.0,1.545425,0.0175748375,1.56299984
156.25,1.533853,0.0170396574,1.55089266
162.5,1.522697,0.016540755,1.53923776
175.0,1.501541,0.015638073,1.51717907
187.5,1.481797,0.0148433983,1.4966404
200.0,1.463329,0.0141387306,1.47746773
209.375,1.450238,0.0136604939,1.46389849
218.75,1.437747,0.013219589,1.45096659
228.125,1.425814,0.0128119571,1.43862596
237.5,1.414404,0.0124339813,1.42683798
246.87500000000003,1.403479,0.0120825668,1.41556157
256.25,1.39301,0.0117550204,1.40476502
275.0,1.373325,0.0111624279,1.38448743
293.75,1.355142,0.0106407267,1.36578273
312.5,1.338289,0.0101778944,1.34846689
331.25,1.322619,0.0097644366,1.33238344
350.0,1.308006,0.0093927986,1.3173988
368.75,1.294341,0.0090569804,1.30339798
387.5,1.281528,0.0087518852,1.29027989
406.25,1.269482,0.0084732996,1.2779553
425.0,1.258132,0.008217941,1.26634994
443.75,1.247416,0.0079829553,1.25539896
462.5,1.237278,0.0077659404,1.24504394
500.0,1.218542,0.0073779444,1.22591994
531.25,1.204302,0.0070940088,1.21139601
562.5,1.191142,0.006839728,1.19798173
593.75,1.178931,0.0066105656,1.18554157
625.0,1.167558,0.0064029642,1.17396096
656.25,1.156928,0.0062139707,1.16314197
687.5,1.146957,0.0060411988,1.1529982
718.75,1.137578,0.0058828294,1.14346083
750.0,1.128732,0.0057373907,1.13446939
781.25,1.120366,0.0056037806,1.12596978
812.5,1.112435,0.0054812915,1.11791629
843.75,1.104899,0.0053696599,1.11026866
875.0,1.097722,0.0052694068,1.10299141
921.875,1.087567,0.0051448471,1.09271185
945.3125,1.082738,0.0050987746,1.08783677
968.75,1.078062,0.0050705096,1.08313251
984.375,1.075025,0.0050671822,1.08009218
1000.0,1.07205,0.0050843034,1.0771343
1013.924,1.069449,0.0051274237,1.07457642
1027.848,1.066892,0.0052147733,1.07210677
1034.81,1.06563,0.0052856698,1.07091567
1041.7720000000002,1.06438,0.00538571,1.06976571
1048.734,1.06314,0.005527825,1.06866783
1055.6960000000001,1.061912,0.0057322206,1.06764422
1061.788,1.060847,0.005993008,1.06684001
1064.834,1.060318,0.0061670059,1.06648501
1067.88,1.059791,0.0063806674,1.06617167
1070.926,1.059268,0.0066462803,1.06591428
1073.972,1.058747,0.0069814087,1.06572841
1077.0179999999998,1.05823,0.0074119016,1.0656419
1080.063,1.057717,0.0079682421,1.06568524
1082.022,1.057389,0.0084212002,1.0658102
1083.98,1.057065,0.0089818996,1.0660469
1085.938,1.056744,0.0096789042,1.0664229
1087.8960000000002,1.056428,0.01055933,1.06698733
1089.8539999999998,1.056117,0.011692759,1.06780976
1091.812,1.055814,0.0131766582,1.06899066
1092.7910000000002,1.055666,0.0140967879,1.06976279
1093.77,1.055522,0.0151789476,1.07070095
1094.7489999999998,1.055383,0.0164636673,1.07184667
1095.728,1.055248,0.0180011971,1.0732492
1096.653,1.055128,0.0197483592,1.07487636
1097.5780000000002,1.055015,0.0218635513,1.07687855
1098.503,1.054913,0.0244576735,1.07937067
1099.4270000000001,1.054825,0.0276810857,1.08250609
1099.89,1.054787,0.0295997268,1.08438673
1100.3519999999999,1.054755,0.031763738,1.08651874
1100.814,1.05473,0.0342241491,1.08895415
1101.276,1.054712,0.0370405303,1.09175253
1101.739,1.054704,0.0402956014,1.0949996
1102.201,1.054707,0.0440707426,1.09877774
1102.663,1.054725,0.0484947138,1.10321971
1103.125,1.054761,0.053727595,1.1084886
1103.5330000000001,1.054811,0.0591914084,1.11400241
1103.941,1.054884,0.0656518318,1.12053583
1104.349,1.054985,0.0733795652,1.12836457
1104.757,1.055123,0.0827523687,1.13787537
1104.961,1.05521,0.0882173104,1.14342731
1105.165,1.055311,0.0943164821,1.14962748
1105.369,1.055428,0.101163224,1.15659122
1105.573,1.055567,0.108901816,1.16446882
1105.777,1.055729,0.117719807,1.17344881
1105.981,1.055923,0.127867199,1.1837902
1106.185,1.056154,0.139684791,1.19583879
1106.389,1.056434,0.153647583,1.21008158
1106.505,1.056622,0.162790478,1.21941248
1106.6209999999999,1.056833,0.173001873,1.22983487
1106.737,1.057075,0.184481368,1.24155637
1106.8519999999999,1.057348,0.197355464,1.25470346
1106.968,1.057666,0.212147759,1.26981376
1107.083,1.058031,0.228966654,1.28699765
1107.1989999999998,1.05846,0.24855405,1.30701405
1107.314,1.058958,0.271112445,1.33007045
1107.43,1.05955,0.29769544,1.35724544
1107.5449999999998,1.060243,0.328630036,1.38887304
1107.661,1.061072,0.365401131,1.42647313
1107.776,1.062048,0.408480326,1.47052833
1107.834,1.062609,0.433109724,1.49571872
1107.892,1.06322,0.459925022,1.52314502
1107.9499999999998,1.063887,0.489123319,1.55301032
1108.007,1.064602,0.520344017,1.58494602
1108.065,1.065394,0.554903915,1.62029791
1108.1229999999998,1.066258,0.592516512,1.65877451
1108.181,1.067199,0.63343431,1.70063331
1108.238,1.068206,0.677124208,1.74533021
1108.31,1.069602,0.737654505,1.8072565
1108.381,1.071128,0.803694302,1.8748223
1108.453,1.072839,0.877685399,1.9505244
1108.5240000000001,1.074703,0.958166396,2.0328694
1108.596,1.076787,1.04802869,2.12481569
1108.667,1.079048,1.14540369,2.22445169
1108.738,1.081527,1.25210769,2.33363469
1108.8090000000002,1.08424,1.36876968,2.45300968
1108.8809999999999,1.087245,1.49787968,2.58512468
1108.952,1.090473,1.63646068,2.72693368
1109.024,1.094029,1.78901168,2.88304068
1109.095,1.097827,1.95183767,3.04966467
1109.1670000000001,1.101986,2.13002567,3.23201167
1109.238,1.1064,2.31905567,3.42545567
1109.309,1.111133,2.52165366,3.63278666
1109.38,1.116192,2.73807766,3.85426966
1109.4550000000002,1.121894,2.98187366,4.10376766
1109.53,1.127964,3.24129866,4.36926266
1109.605,1.134399,3.51622365,4.65062265
1109.6789999999999,1.141101,3.80237465,4.94347565
1109.754,1.148237,4.10699065,5.25522765
1109.829,1.155704,4.42559764,5.58130164
1109.904,1.163481,4.75727164,5.92075264
1109.978,1.171431,5.09621364,6.26764464
1110.094,1.184372,5.64765163,6.83202363
1110.209,1.197651,6.21318063,7.41083163
1110.44,1.22497,7.37562662,8.60059662
1110.5900000000001,1.242529,8.12196161,9.36449061
1110.7389999999998,1.259229,8.83110661,10.0903356
1110.8890000000001,1.274751,9.4895146,10.7642656
1110.9640000000002,1.281858,9.7906426,11.0725006
1111.038,1.288358,10.0657896,11.3541476
