#LIBRARY    ENDF/B-VIII.0
#REACTION   N-14(N,TOT),SIG
#NUCLEUS    N-14
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 4172.37     9.04257      Lin-Lin
 4273.77     9.02322      Lin-Lin
 4506.46     8.97881      Lin-Lin
 4616.21     8.95788      Lin-Lin
 4634        8.95448      Lin-Lin
 4854.82     8.91689      Lin-Lin
 5099.27     8.87528      Lin-Lin
 5275.77     8.84525      Lin-Lin
 5469.27     8.81232      Lin-Lin
 5698.22     8.77337      Lin-Lin
 5990.84     8.72359      Lin-Lin
 6084.65     8.70764      Lin-Lin
 6642.38     8.61279      Lin-Lin
 6664.91     8.60896      Lin-Lin
 6711.59     8.6019       Lin-Lin
 7174.61     8.53197      Lin-Lin
 7236.33     8.52264      Lin-Lin
 7791.21     8.43884      Lin-Lin
 7803.76     8.43695      Lin-Lin
 8531.82     8.32702      Lin-Lin
 8578.31     8.32         Lin-Lin
 8824.3      8.28287      Lin-Lin
 9188.94     8.23391      Lin-Lin
 9327.02     8.21537      Lin-Lin
 10070.5     8.11557      Lin-Lin
 10198.5     8.0984       Lin-Lin
 10284.2     8.08691      Lin-Lin
 10938.5     8.01774      Lin-Lin
 11108.2     7.9998       Lin-Lin
 11963.6     7.9094       Lin-Lin
 12014.1     7.90406      Lin-Lin
 13123.6     7.78682      Lin-Lin
 13284.8     7.76979      Lin-Lin
 14213.9     7.67161      Lin-Lin
 14349.2     7.65732      Lin-Lin
 15535.1     7.53203      Lin-Lin
 15607.5     7.52438      Lin-Lin
 17063.6     7.37056      Lin-Lin
 17087.2     7.36807      Lin-Lin
 18377.9     7.23173      Lin-Lin
 18716.7     7.19594      Lin-Lin
 20000       7.06039      Lin-Lin
 20141.1     7.0455       Lin-Lin
 20397.1     7.03009      Lin-Lin
 21877.1     6.941        Lin-Lin
 23927.1     6.8176       Lin-Lin
 26569.5     6.65855      Lin-Lin
 28698.4     6.5304       Lin-Lin
 31090.2     6.38643      Lin-Lin
 34055.1     6.20797      Lin-Lin
 36755.8     6.0454       Lin-Lin
 40000       5.85012      Lin-Lin
 40794.1     5.82358      Lin-Lin
 43754.1     5.72462      Lin-Lin
 47854.3     5.58754      Lin-Lin
 53139       5.41087      Lin-Lin
 57396.8     5.26852      Lin-Lin
 60000       5.18149      Lin-Lin
 60423.3     5.16735      Lin-Lin
 62180.4     5.12902      Lin-Lin
 67776.4     5.00697      Lin-Lin
 73511.6     4.88189      Lin-Lin
 80000       4.74038      Lin-Lin
 80564.3     4.72807      Lin-Lin
 81588.3     4.712        Lin-Lin
 87074.1     4.62589      Lin-Lin
 95708.5     4.49035      Lin-Lin
 100705      4.41191      Lin-Lin
 106278      4.34502      Lin-Lin
 114951      4.24092      Lin-Lin
 120823      4.17045      Lin-Lin
 121669      4.16029      Lin-Lin
 124361      4.13416      Lin-Lin
 136220      4.01906      Lin-Lin
 140954      3.97312      Lin-Lin
 141941      3.96354      Lin-Lin
 146398      3.92747      Lin-Lin
 161904      3.80199      Lin-Lin
 162257      3.79913      Lin-Lin
 163402      3.78987      Lin-Lin
 169699      3.74614      Lin-Lin
 173652      3.71869      Lin-Lin
 180000      3.67461      Lin-Lin
 185115      3.6391       Lin-Lin
 188880      3.61619      Lin-Lin
 196777      3.56814      Lin-Lin
 201411      3.53995      Lin-Lin
 204252      3.52267      Lin-Lin
 209000      3.49777      Lin-Lin
 225504      3.41121      Lin-Lin
 246680      3.30015      Lin-Lin
 250000      3.28274      Lin-Lin
 253527      3.26425      Lin-Lin
 299941      3.06312      Lin-Lin
 300000      3.06286      Lin-Lin
 306318      3.0355       Lin-Lin
 349915      2.86981      Lin-Lin
 354852      2.85108      Lin-Lin
 400000      2.69889      Lin-Lin
 410000      2.67662      Lin-Lin
 420000      2.69345      Lin-Lin
 422000      2.71595      Lin-Lin
 424000      2.7593       Lin-Lin
 425000      2.79538      Lin-Lin
 426000      2.8484       Lin-Lin
 427000      2.92938      Lin-Lin
 428000      3.05954      Lin-Lin
 429000      3.28437      Lin-Lin
 430000      3.70832      Lin-Lin
 430200      3.83501      Lin-Lin
 430400      3.98571      Lin-Lin
 430600      4.16331      Lin-Lin
 430800      4.37392      Lin-Lin
 431000      4.62517      Lin-Lin
 431200      4.9264       Lin-Lin
 431350      5.19357      Lin-Lin
 431450      5.39317      Lin-Lin
 431600      5.72713      Lin-Lin
 431750      6.11642      Lin-Lin
 431850      6.40632      Lin-Lin
 432000      6.88872      Lin-Lin
 432150      7.44148      Lin-Lin
 432250      7.84319      Lin-Lin
 432400      8.4927       Lin-Lin
 432800      10.3527      Lin-Lin
 432950      10.9641      Lin-Lin
 433000      11.1447      Lin-Lin
 433100      11.422       Lin-Lin
 433175      11.5992      Lin-Lin
 433200      11.636       Lin-Lin
 433225      11.6729      Lin-Lin
 433363      11.7347      Lin-Lin
 433425      11.6984      Lin-Lin
 433550      11.4811      Lin-Lin
 433600      11.3658      Lin-Lin
 433700      11.0371      Lin-Lin
 433800      10.6664      Lin-Lin
 434000      9.77828      Lin-Lin
 434250      8.62083      Lin-Lin
 434400      7.96529      Lin-Lin
 434550      7.37163      Lin-Lin
 434650      7.00896      Lin-Lin
 434800      6.51509      Lin-Lin
 434950      6.08828      Lin-Lin
 435000      5.96383      Lin-Lin
 435063      5.84251      Lin-Lin
 435969      4.33118      Lin-Lin
 436000      4.28944      Lin-Lin
 436063      4.23052      Lin-Lin
 436750      3.73826      Lin-Lin
 437000      3.56535      Lin-Lin
 437500      3.38289      Lin-Lin
 438000      3.20866      Lin-Lin
 439000      3.00958      Lin-Lin
 440000      2.88749      Lin-Lin
 442000      2.75033      Lin-Lin
 444000      2.67744      Lin-Lin
 446000      2.63265      Lin-Lin
 448000      2.60205      Lin-Lin
 450000      2.57943      Lin-Lin
 455000      2.54064      Lin-Lin
 460000      2.51307      Lin-Lin
 469945      2.4766       Lin-Lin
 470000      2.47643      Lin-Lin
 470104      2.47623      Lin-Lin
 474000      2.46992      Lin-Lin
 479947      2.46969      Lin-Lin
 480000      2.46976      Lin-Lin
 480125      2.47032      Lin-Lin
 481750      2.47877      Lin-Lin
 482000      2.48017      Lin-Lin
 482250      2.48379      Lin-Lin
 483938      2.50887      Lin-Lin
 484000      2.50997      Lin-Lin
 484125      2.51303      Lin-Lin
 485000      2.53577      Lin-Lin
 485969      2.56341      Lin-Lin
 486000      2.56462      Lin-Lin
 486031      2.56606      Lin-Lin
 487875      2.66955      Lin-Lin
 488000      2.67687      Lin-Lin
 488500      2.71672      Lin-Lin
 489000      2.7566       Lin-Lin
 489750      2.81643      Lin-Lin
 490000      2.83581      Lin-Lin
 490600      2.86714      Lin-Lin
 490875      2.87816      Lin-Lin
 491000      2.88227      Lin-Lin
 491125      2.88188      Lin-Lin
