#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,EL)C-12-L0,SIG
#NUCLEUS    C-12
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 6.06E+06    0.885996     Lin-Lin
 6.08E+06    0.891677     Lin-Lin
 6.11E+06    0.904459     Lin-Lin
 6.13E+06    0.917191     Lin-Lin
 6.15E+06    0.935228     Lin-Lin
 6.165E+06   0.954381     Lin-Lin
 6.175E+06   0.970678     Lin-Lin
 6.18E+06    0.979728     Lin-Lin
 6.19E+06    1.00244      Lin-Lin
 6.2E+06     1.03155      Lin-Lin
 6.21E+06    1.06961      Lin-Lin
 6.22E+06    1.12053      Lin-Lin
 6.23E+06    1.1904       Lin-Lin
 6.24E+06    1.28867      Lin-Lin
 6.245E+06   1.35277      Lin-Lin
 6.25E+06    1.42992      Lin-Lin
 6.254E+06   1.50277      Lin-Lin
 6.258E+06   1.58693      Lin-Lin
 6.262E+06   1.68334      Lin-Lin
 6.266E+06   1.79213      Lin-Lin
 6.272E+06   1.97423      Lin-Lin
 6.279E+06   2.19077      Lin-Lin
 6.282E+06   2.27099      Lin-Lin
 6.284E+06   2.31478      Lin-Lin
 6.286E+06   2.34857      Lin-Lin
 6.288E+06   2.37049      Lin-Lin
 6.29E+06    2.3791       Lin-Lin
 6.292E+06   2.37359      Lin-Lin
 6.294E+06   2.35392      Lin-Lin
 6.296E+06   2.32081      Lin-Lin
 6.298E+06   2.27561      Lin-Lin
 6.301E+06   2.18968      Lin-Lin
 6.304E+06   2.08894      Lin-Lin
 6.313E+06   1.76802      Lin-Lin
 6.316E+06   1.67044      Lin-Lin
 6.319E+06   1.58255      Lin-Lin
 6.322E+06   1.5035       Lin-Lin
 6.325E+06   1.43483      Lin-Lin
 6.328E+06   1.37456      Lin-Lin
 6.331E+06   1.32346      Lin-Lin
 6.334E+06   1.27934      Lin-Lin
 6.336E+06   1.25389      Lin-Lin
 6.34E+06    1.21012      Lin-Lin
 6.358E+06   1.043        Lin-Lin
 6.362E+06   1.00956      Lin-Lin
 6.365E+06   0.987695     Lin-Lin
 6.37E+06    0.957254     Lin-Lin
 6.375E+06   0.933092     Lin-Lin
 6.38E+06    0.913717     Lin-Lin
 6.3875E+06  0.891327     Lin-Lin
 6.39E+06    0.884814     Lin-Lin
 6.4E+06     0.864347     Lin-Lin
 6.41E+06    0.849097     Lin-Lin
 6.425E+06   0.832566     Lin-Lin
 6.435E+06   0.824697     Lin-Lin
 6.44E+06    0.821587     Lin-Lin
 6.455E+06   0.82374      Lin-Lin
 6.47E+06    0.828081     Lin-Lin
 6.49E+06    0.830296     Lin-Lin
 6.51031E+06 0.803357     Lin-Lin
 6.54E+06    0.705625     Lin-Lin
 6.5565E+06  0.611319     Lin-Lin
 6.57E+06    0.530651     Lin-Lin
 6.58E+06    0.50154      Lin-Lin
 6.59E+06    0.505046     Lin-Lin
 6.6E+06     0.514159     Lin-Lin
 6.62E+06    0.576777     Lin-Lin
 6.64E+06    0.592394     Lin-Lin
 6.65575E+06 0.718796     Lin-Lin
 6.658E+06   0.73586      Lin-Lin
 6.66512E+06 0.682291     Lin-Lin
 6.67E+06    0.670219     Lin-Lin
 6.68E+06    0.66139      Lin-Lin
 6.7E+06     0.65555      Lin-Lin
 6.75E+06    0.649996     Lin-Lin
 6.81E+06    0.645747     Lin-Lin
 6.92E+06    0.606042     Lin-Lin
 7E+06       0.573643     Lin-Lin
 7.053E+06   0.572617     Lin-Lin
 7.1E+06     0.569164     Lin-Lin
 7.14E+06    0.582821     Lin-Lin
 7.18E+06    0.602642     Lin-Lin
 7.2E+06     0.639842     Lin-Lin
 7.2225E+06  0.672078     Lin-Lin
 7.225E+06   0.676406     Lin-Lin
 7.25E+06    0.746814     Lin-Lin
 7.27E+06    0.822803     Lin-Lin
 7.28E+06    0.884238     Lin-Lin
 7.34E+06    1.33221      Lin-Lin
 7.35E+06    1.42918      Lin-Lin
 7.36E+06    1.42252      Lin-Lin
 7.37E+06    1.46356      Lin-Lin
 7.40125E+06 1.4128       Lin-Lin
 7.42E+06    1.39798      Lin-Lin
 7.47E+06    1.37142      Lin-Lin
 7.529E+06   1.37807      Lin-Lin
 7.542E+06   1.36343      Lin-Lin
 7.553E+06   1.35516      Lin-Lin
 7.62E+06    1.32634      Lin-Lin
 7.64938E+06 1.33681      Lin-Lin
 7.66112E+06 1.37226      Lin-Lin
 7.667E+06   1.39077      Lin-Lin
 7.68E+06    1.41515      Lin-Lin
 7.698E+06   1.52479      Lin-Lin
 7.7E+06     1.53055      Lin-Lin
 7.725E+06   1.79877      Lin-Lin
 7.745E+06   1.98612      Lin-Lin
 7.767E+06   1.84316      Lin-Lin
 7.789E+06   1.6835       Lin-Lin
 7.81E+06    1.58093      Lin-Lin
 7.819E+06   1.58208      Lin-Lin
 7.86E+06    1.52176      Lin-Lin
 7.8864E+06  1.49193      Lin-Lin
 7.888E+06   1.47519      Lin-Lin
 7.897E+06   1.47153      Lin-Lin
 7.93E+06    1.43178      Lin-Lin
 7.936E+06   1.41002      Lin-Lin
 8E+06       1.35098      Lin-Lin
