#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,TOT),SIG
#NUCLEUS    C-12
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 3.04E+06    1.26663      Lin-Lin
 3.07E+06    1.42793      Lin-Lin
 3.09E+06    1.52925      Lin-Lin
 3.11E+06    1.62342      Lin-Lin
 3.14E+06    1.75389      Lin-Lin
 3.18E+06    1.91387      Lin-Lin
 3.23E+06    2.09848      Lin-Lin
 3.28E+06    2.26741      Lin-Lin
 3.32E+06    2.38858      Lin-Lin
 3.36E+06    2.49359      Lin-Lin
 3.39E+06    2.55952      Lin-Lin
 3.42E+06    2.61299      Lin-Lin
 3.45E+06    2.65304      Lin-Lin
 3.48E+06    2.67924      Lin-Lin
 3.52E+06    2.69279      Lin-Lin
 3.555E+06   2.68459      Lin-Lin
 3.59E+06    2.66266      Lin-Lin
 3.59945E+06 2.65253      Lin-Lin
 3.63E+06    2.6198       Lin-Lin
 3.68E+06    2.54675      Lin-Lin
 3.74E+06    2.43966      Lin-Lin
 3.95E+06    2.01941      Lin-Lin
 4.01E+06    1.9119       Lin-Lin
 4.05E+06    1.85272      Lin-Lin
 4.05643E+06 1.84604      Lin-Lin
 4.08E+06    1.82156      Lin-Lin
 4.1E+06     1.81151      Lin-Lin
 4.11E+06    1.81108      Lin-Lin
 4.125E+06   1.81853      Lin-Lin
 4.14E+06    1.83594      Lin-Lin
 4.15E+06    1.85536      Lin-Lin
 4.16E+06    1.88143      Lin-Lin
 4.17E+06    1.91448      Lin-Lin
 4.185E+06   1.97717      Lin-Lin
 4.22E+06    2.15019      Lin-Lin
 4.23E+06    2.19357      Lin-Lin
 4.24E+06    2.22802      Lin-Lin
 4.25E+06    2.25136      Lin-Lin
 4.26E+06    2.26277      Lin-Lin
 4.265E+06   2.26279      Lin-Lin
 4.27E+06    2.2627       Lin-Lin
 4.28E+06    2.25258      Lin-Lin
 4.29E+06    2.23432      Lin-Lin
 4.31E+06    2.1815       Lin-Lin
 4.37E+06    1.9899       Lin-Lin
 4.4E+06     1.90429      Lin-Lin
 4.43E+06    1.82949      Lin-Lin
 4.46E+06    1.76421      Lin-Lin
 4.5E+06     1.68908      Lin-Lin
 4.55E+06    1.60952      Lin-Lin
 4.6E+06     1.5414       Lin-Lin
 4.66E+06    1.47014      Lin-Lin
 4.8E+06     1.32603      Lin-Lin
 4.813E+06   1.30793      Lin-Lin
 4.82E+06    1.30653      Lin-Lin
 4.83E+06    1.30255      Lin-Lin
 4.84E+06    1.29733      Lin-Lin
 4.85E+06    1.29155      Lin-Lin
 4.86E+06    1.28542      Lin-Lin
 4.87E+06    1.28059      Lin-Lin
 4.88E+06    1.27559      Lin-Lin
 4.89E+06    1.27046      Lin-Lin
 4.906E+06   1.26203      Lin-Lin
 4.908E+06   1.26094      Lin-Lin
 4.92E+06    1.25883      Lin-Lin
 4.924E+06   1.26214      Lin-Lin
 4.9245E+06  1.26255      Lin-Lin
 4.927E+06   1.26929      Lin-Lin
 4.928E+06   1.27344      Lin-Lin
 4.93E+06    1.29099      Lin-Lin
 4.931E+06   1.30842      Lin-Lin
 4.932E+06   1.33967      Lin-Lin
 4.93275E+06 1.38315      Lin-Lin
 4.933E+06   1.40268      Lin-Lin
 4.93325E+06 1.43366      Lin-Lin
 4.93381E+06 1.51542      Lin-Lin
 4.93394E+06 1.54088      Lin-Lin
 4.934E+06   1.5577       Lin-Lin
 4.93412E+06 1.60081      Lin-Lin
 4.93425E+06 1.65285      Lin-Lin
 4.93475E+06 1.87815      Lin-Lin
 4.93488E+06 1.94438      Lin-Lin
 4.93497E+06 2.00821      Lin-Lin
 4.93503E+06 2.06063      Lin-Lin
 4.93512E+06 2.15422      Lin-Lin
 4.93522E+06 2.26179      Lin-Lin
 4.93531E+06 2.37989      Lin-Lin
 4.93541E+06 2.51141      Lin-Lin
 4.93547E+06 2.61025      Lin-Lin
 4.93553E+06 2.7201       Lin-Lin
 4.93562E+06 2.90476      Lin-Lin
 4.93588E+06 3.44134      Lin-Lin
 4.93597E+06 3.62071      Lin-Lin
