energy (eV),scatter (barn),capture (barn),total (barn)
0.03938673,26.85656,0.266574,27.123134
0.040351569999999996,26.71142,0.2633677,26.9747877
0.041316410000000005,26.57254,0.2602744,26.8328144
0.04228125,26.43953,0.2572876,26.6968176
0.04421094,26.1897,0.2516101,26.4413101
0.046140629999999995,25.95937,0.2462925,26.2056625
0.04807032,25.74638,0.2412984,25.9876784
0.049999999999999996,25.54885,0.2365963,25.7854463
0.051562500000000004,25.39913,0.232984,25.632114
0.053125,25.25775,0.2295322,25.4872822
0.0546875,25.12404,0.2262294,25.3502694
0.056249999999999994,24.99739,0.2230653,25.2204553
0.0578125,24.87728,0.2200302,25.0973102
0.059375,24.76321,0.2171158,24.9803258
0.0609375,24.65474,0.2143142,24.8690542
0.0625,24.55149,0.2116184,24.7631084
0.0640625,24.45308,0.2090218,24.6621018
0.06562499999999999,24.35919,0.2065184,24.5657084
0.06718750000000001,24.26952,0.204103,24.473623
0.06875,24.18379,0.2017703,24.3855603
0.071875,24.02319,0.1973353,24.2205253
0.075,23.8756,0.1931804,24.0687804
0.078125,23.73953,0.1892774,23.9288074
0.08125,23.6137,0.1856018,23.7993018
0.084375,23.497,0.1821324,23.6791324
0.0875,23.38849,0.1788505,23.5673405
0.09062500000000001,23.28734,0.1757399,23.4630799
0.09375,23.19284,0.1727861,23.3656261
0.096875,23.10435,0.1699764,23.2743264
0.09999999999999999,23.02133,0.1672995,23.1886295
0.10312500000000001,22.94328,0.1647452,23.1080252
0.10625,22.86979,0.1623044,23.0320944
0.109375,22.80045,0.159969,22.960419
0.11249999999999999,22.73495,0.1577316,22.8926816
0.115625,22.67295,0.1555855,22.8285355
0.11875,22.6142,0.1535247,22.7677247
0.121875,22.55845,0.1515437,22.7099937
0.125,22.50547,0.1496374,22.6551074
0.128125,22.45506,0.1478013,22.6028613
0.13124999999999998,22.40705,0.1460312,22.5530812
0.13437500000000002,22.36126,0.1443232,22.5055832
0.1375,22.31754,0.1426738,22.4602138
0.14375,22.2358,0.1395377,22.3753377
0.15,22.16085,0.1365998,22.2974498
0.15625,22.09189,0.1338399,22.2257299
0.1625,22.02822,0.1312409,22.1594609
0.16875,21.96926,0.1287876,22.0980476
0.175,21.91452,0.1264669,22.0409869
0.18125000000000002,21.86354,0.1242674,21.9878074
0.1875,21.81596,0.1221787,21.9381387
0.19375,21.77145,0.1201919,21.8916419
0.19999999999999998,21.72972,0.118299,21.848019
0.209375,21.6718,0.1156203,21.7874203
0.21875,21.61884,0.1131156,21.7319556
0.22812500000000002,21.57023,0.1107669,21.6809969
0.2375,21.52546,0.1085588,21.6340188
0.246875,21.48409,0.1064777,21.5905677
0.25625,21.44574,0.1045118,21.5502518
0.265625,21.41011,0.102651,21.512761
0.275,21.3769,0.1008862,21.4777862
0.284375,21.34588,0.09920939,21.4450894
0.29375,21.31684,0.09761353,21.4144535
0.30312500000000003,21.2896,0.09609231,21.3856923
0.3125,21.26399,0.09464008,21.3586301
0.32187499999999997,21.23987,0.09325178,21.3331218
0.33125,21.21712,0.09192286,21.3090429
0.340625,21.19562,0.0906492,21.2862692
0.35,21.17527,0.08942707,21.2646971
0.359375,21.15599,0.08825308,21.2442431
0.36875,21.13768,0.08712417,21.2248042
0.378125,21.12028,0.08603751,21.2063175
0.3875,21.10373,0.08499054,21.1887205
0.39687500000000003,21.08795,0.08398089,21.1719309
0.40625,21.07291,0.08300639,21.1559164
0.425,21.04481,0.08115506,21.1259651
0.44375,21.01908,0.07942233,21.0985023
0.4625,20.99544,0.07779607,21.0732361
0.5,20.95348,0.0748224,21.0283024
0.53125,20.92303,0.07258876,20.9956188
0.5625,20.89597,0.07054392,20.9665139
0.59375,20.87176,0.06866268,20.9404227
0.625,20.84997,0.06692435,20.9168944
0.6875,20.81233,0.06381031,20.8761403
0.75,20.78096,0.06109416,20.8420542
0.8125,20.75441,0.05869779,20.8131078
0.875,20.73166,0.05656294,20.7882229
0.9375,20.71193,0.0546452,20.7665752
1.0,20.69468,0.05291001,20.74759
1.0625,20.67945,0.05133011,20.7307801
1.125,20.66591,0.04988364,20.7157936
1.1875,20.6538,0.04855284,20.7023528
1.25,20.6429,0.04732312,20.6902231
1.375,20.62406,0.04512035,20.6691804
1.5,20.60836,0.04319935,20.6515594
1.625,20.59508,0.04150477,20.6365848
1.75,20.58369,0.03999519,20.6236852
1.875,20.57381,0.03863902,20.612449
2.0,20.56517,0.03741184,20.6025818
2.1875,20.55406,0.03577205,20.5898321
2.375,20.54469,0.03433075,20.5790208
2.5625,20.5367,0.03305116,20.5697512
2.75,20.52979,0.03190509,20.5616951
2.9375,20.52376,0.03087053,20.5546305
3.125,20.51845,0.02993024,20.5483802
3.3125,20.51374,0.02907066,20.5428107
3.5,20.50953,0.02828091,20.5378109
3.875,20.50232,0.02687687,20.5291969
4.25,20.49638,0.02566326,20.5220433
4.625,20.4914,0.02460091,20.5160009
5.0,20.48715,0.02366085,20.5108109
5.3125,20.48406,0.0229547,20.5070147
5.625,20.48131,0.02230798,20.503618
5.9375,20.47885,0.02171277,20.5005628
6.25,20.47663,0.02116266,20.4977927
6.875,20.47278,0.02017718,20.4929572
7.5,20.46956,0.01931779,20.4888778
8.125,20.46682,0.01856016,20.4853802
8.75,20.46446,0.01788598,20.482346
9.375,20.46241,0.01728026,20.4796903
10.0,20.4606,0.01673149,20.4773315
10.625,20.45899,0.01623151,20.4752215
11.25,20.45755,0.01577374,20.4733237
11.875,20.45626,0.01535265,20.4716127
12.5,20.45509,0.01496358,20.4700536
13.75,20.45303,0.01426668,20.4672967
15.0,20.4513,0.01365892,20.4649589
16.25,20.44981,0.01312298,20.462933
17.5,20.4485,0.01264653,20.4611465
18.75,20.44735,0.01221832,20.4595683
20.0,20.44632,0.0118296,20.4581496
21.875,20.44496,0.0113102,20.4562702
23.75,20.44377,0.01085414,20.4546241
25.625,20.44272,0.01044927,20.4531693
27.5,20.44178,0.01008742,20.4518674
29.375,20.44093,0.009760701,20.4506907
31.25,20.44015,0.009463039,20.449613
33.125,20.43942,0.009190967,20.448611
35.0,20.43875,0.008941092,20.4476911
38.75,20.43753,0.008496974,20.446027
42.5,20.43644,0.00811308,20.4445531
46.25,20.43544,0.007776928,20.4432169
50.0,20.43451,0.007479884,20.4419899
53.125,20.43379,0.007256736,20.4410467
56.25,20.4331,0.007051935,20.4401519
59.375,20.43244,0.006863528,20.4393035
62.5,20.4318,0.006689455,20.4384895
68.75,20.43058,0.006377668,20.4369577
75.0,20.42943,0.00610576,20.4355358
81.25,20.42832,0.005865896,20.4341859
87.5,20.42726,0.005652818,20.4329128
93.75,20.42622,0.005461393,20.4316814
100.0,20.42521,0.005287619,20.4304976
106.25,20.42421,0.005129327,20.4293393
